brandName,genericName,strength,formulation,category,aliases,betaAllowed
Airovis L 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airset L Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Airset-L Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airsurge Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Airvoiz 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airvoiz AX 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airvoiz M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Airvoiz-M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Airway 5mg/60mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Airway L Capsule,Levocetirizine,5mg,Capsule,Antihistamines,"['CZ L 5 mg/120 mg Capsule', 'Citymont L 5mg/10mg Soft Gelatin Capsule', 'Elcy A 5mg/75mg Capsule']",True
Airway-FX 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Airway-L Kid Tablet DT,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Aizine 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Akair LC Kid 2.5 mg/4 mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Akair LC Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Akcet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Akme CT 10 Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Akogra-M 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Akticet L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aktilor 5mg Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Alenix 5 Tablet', 'Allerde 5mg Tablet']",True
Al Low 180mg Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Al-Low 120 Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Al-Low M Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Ala QR 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aladin 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alafex 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alafex 180mg Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Alakast FA 10mg/120mg/200mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alarliv 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alarrest 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alaspan AG Syrup,Loratadine,5mg/5ml,Syrup,Antihistamines,"['Alastin AG Syrup', 'Daslin NF Syrup', 'Extus Syrup']",True
Alaspan AM Tablet,Ambroxol,60mg,Tablet,Antihistamines,"['Acolate P Plus Tablet', 'Alastin AM Tablet', 'Alevict Plus Tablet']",True
Alastin AG Syrup,Loratadine,5mg/5ml,Syrup,Antihistamines,"['Alaspan AG Syrup', 'Daslin NF Syrup', 'Extus Syrup']",True
Alastin AM Tablet,Ambroxol,60mg,Tablet,Antihistamines,"['Alaspan AM Tablet', 'Acolate P Plus Tablet', 'Alevict Plus Tablet']",True
Albicet 10mg Tablet,Levocetirizine,10mg,Tablet,Antihistamines,"['Alvizine 10mg Tablet', 'Allelin 10mg Tablet', 'Alvocet 10mg Tablet MD']",True
Albicet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Albicet AM 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Albicet AM Plus 75mg/5mg/10mg Tablet SR,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
Albicet AM Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Albicet M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Albicet M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Albicold N Tablet,Caffeine,25mg,Tablet,Antihistamines,"['Alflam Kold Tablet', 'Avokold N Tablet', 'Abnim Cold & Flu Tablet']",True
Albonex M 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Albro-LZ 10mg/5mg/200mg Tablet SR,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alcare 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alcare L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcast 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcast M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcast Plus 5mg/75mg Tablet SR,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alce 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alcet 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcet 5mg/5ml Syrup,Cetirizine,5mg/5ml,Syrup,Antihistamines,"['Alerid Syrup', 'Alday Kid 5mg/5ml Syrup', 'Ambcet Syrup']",True
Alcet M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcet M Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Alday Duo Syrup', 'Acolate M Kid Syrup Orange']",True
Alcet Tablet,Cetirizine,NA,Tablet,Antihistamines,"['Anglocet Tablet', 'Alzine L Tablet', 'Alego L Tablet']",True
Alcetra 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcetra Plus Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcetra Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alcetriza L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alci 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcicold-Plus Tablet,Ambroxol,60mg,Tablet,Antihistamines,"['Alaspan AM Tablet', 'Acolate P Plus Tablet', 'Alastin AM Tablet']",True
Alcimo 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcimo FX 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alcimo Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alcit 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcitra 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alcivo M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alciz 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alciz AM 75mg/5mg/10mg Tablet SR,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
Alciz DP Tablet,Ambroxol,60mg,Tablet,Antihistamines,"['Alaspan AM Tablet', 'Acolate P Plus Tablet', 'Alastin AM Tablet']",True
Alciz M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alciz M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Alciz M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alcocet 5 Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcocet Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alcocet-M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alcocet-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alcold 5 mg/120 mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Alcold Plus Tablet,Loratadine,5mg,Tablet,Antihistamines,"['Allerkit Tablet', 'Lorfast D 5mg/120mg Tablet', 'Loridin D Tablet']",True
Alcoryl Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Alcure FM 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alday AG  Syrup,Ambroxol,30mg/5ml,Syrup,Antihistamines,"['Ambrogyl Syrup', 'Coftime Syrup', 'Clistin Wet Syrup']",True
Alday AM 5 mg/60 mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Alday AM Tablet SR,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alday Active 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alday Cold Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alday Cold Tablet,Ambroxol,30mg,Tablet,Antihistamines,"['Bromont-LC Tablet', 'Cheston Cold Total Tablet', 'C-10 Cold & Total Tablet']",True
Alday Duo 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alday Duo Syrup,Levocetirizine,2.5mg/5ml,Syrup,Antihistamines,"['Allercet-M Syrup', 'Acolate M Kid Syrup Orange', 'Ancer LM Syrup']",True
Alday Kid 5mg/5ml Syrup,Cetirizine,5mg/5ml,Syrup,Antihistamines,"['Alerid Syrup', 'Alcet 5mg/5ml Syrup', 'Ambcet Syrup']",True
Alday Kid Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Allercet-L Syrup', 'Atiza M Syrup']",True
Alday RD 5 mg/20 mg Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet']",True
Aldbest 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aldbest-CF Tablet,Ambroxol,15mg,Tablet,Antihistamines,[],True
Aldbest-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alde 5mg Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Alenix 5 Tablet', 'Allerde 5mg Tablet']",True
Aldust L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Aldust M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alecet 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alecloz 120 Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alecloz 180 Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Alefen-M Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alefex 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alefex M 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alego 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alego L Tablet,Cetirizine,NA,Tablet,Antihistamines,"['Anglocet Tablet', 'Alcet Tablet', 'Alzine L Tablet']",True
Alegrid M 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alenev 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alenix 10mg Tablet,Desloratadine,10mg,Tablet,Antihistamines,"['Dazit 10 Tablet', 'D-Lorinol Tablet', 'Dezlorid 10mg Tablet']",True
Alenix 5 Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Allerde 5mg Tablet', 'Alorti-M Tablet']",True
Alenix-M Tablet,Desloratadine,5mg,Tablet,Antihistamines,"['Alides 5mg Tablet', 'Alenix 5 Tablet', 'Allerde 5mg Tablet']",True
Aler-FM 10mg/120mg Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Aler-LM 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerbit 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerbit M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerbit M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alerbloc 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alerbon-LC Tablet,Levocetirizine,NA,Tablet,Antihistamines,"['AH Plus Tablet', 'Amrox LC Tablet', 'Allerone-M Kid Tablet']",True
Alercet L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alercid 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alercid M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alercid M Syrup,Levocetirizine,2.5mg,Syrup,Antihistamines,"['Alzero M Syrup', 'Alday Kid Syrup', 'Allercet-L Syrup']",True
Alercid M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alercid Total 75mg/5mg/10mg Tablet,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Abmont AL 75mg/5mg/10mg Tablet']",True
Alercy 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerdain 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerdain A 5 mg/75 mg Tablet SR,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerdain M Kid 2.5mg/4mg Tablet DT,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Alerdin 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alerex LC 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerfen 120 Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alerfen-M Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alerfex 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alerfix Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerfix Total Tablet SR,Ambroxol,75mg,Tablet,Antihistamines,"['Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet', 'Abmont AL 75mg/5mg/10mg Tablet']",True
Alerfre M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerg M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerg Total 75mg/5mg/10mg Tablet,Ambroxol,75mg,Tablet,Antihistamines,"['Alerfix Total Tablet SR', 'Alersin-Total Tablet SR', 'Alercid Total 75mg/5mg/10mg Tablet']",True
Alergard 120mg Tablet,Fexofenadine,120mg,Tablet,Antihistamines,"['Allegra 120mg Tablet', 'Alrgee 120mg Tablet', 'Air 120 Tablet']",True
Alergard 180mg Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Alergard-M Tablet,Montelukast,10mg,Tablet,Antihistamines,"['Allegra-M Tablet', 'Air-M Tablet', 'Acegrow 3D Tablet']",True
Alergate 180 Tablet,Fexofenadine,180mg,Tablet,Antihistamines,"['Allegra 180mg Tablet', 'Air 180 Tablet', 'Algrot 180mg Tablet']",True
Alergate L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alergevo M 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alergid 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alergid L 5mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alergin 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alergin LX Syrup,Levocetirizine,NA,Syrup,Antihistamines,"['Allerone Syrup', 'Alocet-M Syrup', 'Ambecy Syrup']",True
Alergin NF 5mg/5ml Syrup,Cetirizine,5mg/5ml,Syrup,Antihistamines,"['Alerid Syrup', 'Alday Kid 5mg/5ml Syrup', 'Alcet 5mg/5ml Syrup']",True
Alergo 10mg Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Alerid Tablet', 'Allercet-DC Tablet', 'Agmacet 10mg Tablet']",True
Alerid Cold Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid-D Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet', 'Amcold 5 mg/60 mg Tablet']",True
Alerid Syrup,Cetirizine,5mg/5ml,Syrup,Antihistamines,"['Alday Kid 5mg/5ml Syrup', 'Alcet 5mg/5ml Syrup', 'Ambcet Syrup']",True
Alerid Tablet,Cetirizine,10mg,Tablet,Antihistamines,"['Allercet-DC Tablet', 'Agmacet 10mg Tablet', 'Alergin 10mg Tablet']",True
Alerid-D Syrup,Phenylpropanolamine,NA,Syrup,Antihistamines,[],True
Alerid-D Tablet,Cetirizine,5mg,Tablet,Antihistamines,"['Alerid Cold Tablet', 'Alkem Cold 5 mg/500 mg/5 mg Tablet', 'Amcold 5 mg/60 mg Tablet']",True
Alerkab Tablet,Levocetirizine,NA,Tablet,Antihistamines,"['AH Plus Tablet', 'Amrox LC Tablet', 'Allerone-M Kid Tablet']",True
Alerkab-M Kid Tablet DT,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Alerkab-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerlife-M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Alerlife-M Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alerlite M Kid 2.5mg/4mg Tablet,Levocetirizine,2.5mg,Tablet,Antihistamines,"['Allercet-M Kid Tablet DT', 'Alzero D Tablet', 'Acolate LP 2.5mg/10mg Tablet']",True
Alermed Tablet,Cetirizine,NA,Tablet,Antihistamines,"['Anglocet Tablet', 'Alcet Tablet', 'Alzine L Tablet']",True
Alermont 5mg/10mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
Alernem A 5mg/60mg Tablet,Levocetirizine,5mg,Tablet,Antihistamines,"['Allercet Cold Tablet', 'Allercet-M Tablet', 'Allrite DC Tablet ER']",True
